  Total analyzer execution time: 0.017 seconds. (TaskId:3718)
  NOTE: Elapsed time may be less than analyzer execution time because analyzers can run concurrently. (TaskId:3718)
  Time (s)    %   Analyzer (TaskId:3718)
  0.017  100   BugHunter.Analyzers, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null (TaskId:3718)
  0.009   51      BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.SystemIOAnalyzer (TaskId:3718)
  0.002   10      BugHunter.Analyzers.CmsBaseClassesRules.Analyzers.ModuleRegistrationAnalyzer (TaskId:3718)
  0.001    7      BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpSessionElementAccessAnalyzer (TaskId:3718)
  <0.001    3      BugHunter.Analyzers.StringAndCultureRules.Analyzers.StringCompareToMethodAnalyzer (TaskId:3718)
  <0.001    3      BugHunter.Analyzers.AbstractionOverImplementation.Analyzers.LuceneSearchDocumentAnalyzer (TaskId:3718)
  <0.001    2      BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpRequestQueryStringAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.ClientScriptMethodsAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.CmsApiGuidelinesRules.Analyzers.EventLogArgumentsAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.CmsApiGuidelinesRules.Analyzers.WhereLikeMethodAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.FormsAuthenticationSignOutAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.StringAndCultureRules.Analyzers.StringEqualsMethodAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpRequestUserHostAddressAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpResponseRedirectAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpRequestUrlAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpRequestBrowserAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.PageIsPostBackAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.StringAndCultureRules.Analyzers.StringStartAndEndsWithMethodsAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.StringAndCultureRules.Analyzers.StringIndexOfMethodsAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpResponseCookiesAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.StringAndCultureRules.Analyzers.StringCompareStaticMethodAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpRequestCookiesAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.PageIsCallbackAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.CmsApiReplacementRules.Analyzers.HttpSessionSessionIdAnalyzer (TaskId:3718)
  <0.001    1      BugHunter.Analyzers.StringAndCultureRules.Analyzers.StringManipulationMethodsAnalyzer (TaskId:3718)
