Severity	Code	Description	Project	File	Line	Suppression State
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.ImportExport.dll' depends on 'ICSharpCode.SharpZipLib, Version=0.85.3.365, Culture=neutral, PublicKeyToken=1b03e6acf1164f73' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.AmazonStorage.dll' depends on 'AWSSDK.Core, Version=3.1.0.0, Culture=neutral, PublicKeyToken=885c28607f98e604' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.AmazonStorage.dll' depends on 'AWSSDK.S3, Version=3.1.0.0, Culture=neutral, PublicKeyToken=885c28607f98e604' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.AzureStorage.dll' depends on 'Microsoft.WindowsAzure.Storage, Version=5.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.Core.dll' depends on 'Mono.Cecil, Version=0.9.6.0, Culture=neutral, PublicKeyToken=0738eb9f132ed756' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.DataEngine.dll' depends on 'Microsoft.SqlServer.TransactSql.ScriptDom, Version=13.100.0.0, Culture=neutral, PublicKeyToken=89845dcd8080cc91' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.ExtendedControls.dll' depends on 'AjaxControlToolkit, Version=4.1.60919.0, Culture=neutral, PublicKeyToken=28f01b0e84b6d53e' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.ImportExport.dll' depends on 'DocumentFormat.OpenXml, Version=2.0.5022.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.IO.dll' depends on 'ICSharpCode.SharpZipLib, Version=0.85.3.365, Culture=neutral, PublicKeyToken=1b03e6acf1164f73' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.MembershipProvider.dll' depends on 'DotNetOpenAuth, Version=4.0.0.11165, Culture=neutral, PublicKeyToken=2780ccd10d57b246' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.MembershipProvider.dll' depends on 'Facebook, Version=6.0.10.0, Culture=neutral, PublicKeyToken=58cb4f2111d1e6de' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.Modules.dll' depends on 'NuGet.Core, Version=2.8.50506.491, Culture=neutral, PublicKeyToken=31bf3856ad364e35' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.Newsletters.dll' depends on 'HtmlAgilityPack, Version=1.4.0.0, Culture=neutral, PublicKeyToken=bd319b19eaf3b43a' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.Newsletters.dll' depends on 'OpenPop, Version=2.0.4.369, Culture=neutral, PublicKeyToken=bebb5741791313cd' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.PortalControls.dll' depends on 'AjaxControlToolkit, Version=4.1.60919.0, Culture=neutral, PublicKeyToken=28f01b0e84b6d53e' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.Search.TextExtractors.dll' depends on 'ClosedXML, Version=0.68.1.0, Culture=neutral, PublicKeyToken=fd1eb21b62ae805b' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.Search.TextExtractors.dll' depends on 'DocumentFormat.OpenXml, Version=2.0.5022.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.SharePoint.dll' depends on 'Microsoft.SharePoint.Client, Version=15.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.SharePoint.dll' depends on 'Microsoft.SharePoint.Client.Runtime, Version=15.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.SocialMarketing.dll' depends on 'DotNetOpenAuth, Version=4.0.0.11165, Culture=neutral, PublicKeyToken=2780ccd10d57b246' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.SocialMarketing.dll' depends on 'Facebook, Version=6.0.10.0, Culture=neutral, PublicKeyToken=58cb4f2111d1e6de' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.SocialMarketing.dll' depends on 'LinkedIn, Version=1.0.0.0, Culture=neutral, PublicKeyToken=8a3e61b38097e4db' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.SocialMarketing.dll' depends on 'LinqToTwitter, Version=2.1.12.0, Culture=neutral, PublicKeyToken=957107be965c25d9' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.SocialMedia.dll' depends on 'DotNetOpenAuth, Version=4.0.0.11165, Culture=neutral, PublicKeyToken=2780ccd10d57b246' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
Warning	IDE1003	Analyzer assembly 'D:\code\thesis\SampleTestProjectNuget\packages\BugHunter.1.0.6165.29450\analyzers\dotnet\cs\CMS.SocialMedia.dll' depends on 'LinkedIn, Version=1.0.0.0, Culture=neutral, PublicKeyToken=8a3e61b38097e4db' but it was not found. Analyzers may not run correctly unless the missing assembly is added as an analyzer reference as well.	SampleTestProject		1	Active
